21 21
0.000000 1.250000 26.308533
0.250000 1.250000 32.134872
0.500000 1.250000 41.318443
0.750000 1.250000 52.568966
1.000000 1.250000 64.090096
1.250000 1.250000 74.019234
1.500000 1.250000 80.883568
1.750000 1.250000 83.960640
2.000000 1.250000 83.455246
2.250000 1.250000 80.449318
2.500000 1.250000 76.636978
2.750000 1.250000 73.909805
3.000000 1.250000 73.893669
3.250000 1.250000 77.550720
3.500000 1.250000 84.943741
3.750000 1.250000 95.220856
4.000000 1.250000 106.824036
4.250000 1.250000 117.870605
4.500000 1.250000 126.614143
4.750000 1.250000 131.872116
5.000000 1.250000 133.315353
0.000000 1.500000 12.817499
0.250000 1.500000 17.465014
0.500000 1.500000 26.141207
0.750000 1.500000 37.297741
1.000000 1.500000 48.778999
1.250000 1.500000 58.349880
1.500000 1.500000 64.242981
1.750000 1.500000 65.591377
2.000000 1.500000 62.640816
2.250000 1.500000 56.689606
2.500000 1.500000 49.770706
2.750000 1.500000 44.154003
3.000000 1.500000 41.790554
3.250000 1.500000 43.834915
3.500000 1.500000 50.362453
3.750000 1.500000 60.350899
4.000000 1.500000 71.930626
4.250000 1.500000 82.842407
4.500000 1.500000 90.990562
4.750000 1.500000 94.956039
5.000000 1.500000 94.343842
0.000000 1.750000 1.333046
0.250000 1.750000 5.052558
0.500000 1.750000 13.472196
0.750000 1.750000 24.785563
1.000000 1.750000 36.477779
1.250000 1.750000 45.941216
1.500000 1.750000 51.113918
1.750000 1.750000 50.984451
2.000000 1.750000 45.839546
2.250000 1.750000 37.193882
2.500000 1.750000 27.419243
2.750000 1.750000 19.163834
3.000000 1.750000 14.703890
3.250000 1.750000 15.386392
3.500000 1.750000 21.299265
3.750000 1.750000 31.249861
4.000000 1.750000 43.056953
4.250000 1.750000 54.084782
4.500000 1.750000 61.888374
4.750000 1.750000 64.812172
5.000000 1.750000 62.395351
0.000000 2.000000 2.413927
0.250000 2.000000 6.776104
0.500000 2.000000 16.509851
0.750000 2.000000 29.550722
1.000000 2.000000 43.024559
1.250000 2.000000 53.951221
1.500000 2.000000 59.974186
1.750000 2.000000 59.937531
2.000000 2.000000 54.168941
2.250000 2.000000 44.399490
2.500000 2.000000 33.339779
2.750000 2.000000 24.016333
3.000000 2.000000 19.030561
3.250000 2.000000 19.921869
3.500000 2.000000 26.790743
3.750000 2.000000 38.274158
4.000000 2.000000 51.879284
4.250000 2.000000 64.593819
4.500000 2.000000 73.623520
4.750000 2.000000 77.076309
5.000000 2.000000 74.425537
0.000000 2.250000 15.066386
0.250000 2.250000 21.517675
0.500000 2.250000 34.011982
0.750000 2.250000 50.226799
1.000000 2.250000 66.928703
1.250000 2.250000 80.765045
1.500000 2.250000 89.084717
1.750000 2.250000 90.587318
2.000000 2.250000 85.641495
2.250000 2.250000 76.194702
2.500000 2.250000 65.296364
2.750000 2.250000 56.351330
3.000000 2.250000 52.286175
3.250000 2.250000 54.832737
3.500000 2.250000 64.104057
3.750000 2.250000 78.566742
4.000000 2.250000 95.416344
4.250000 2.250000 111.264038
4.500000 2.250000 122.966293
4.750000 2.250000 128.394516
5.000000 2.250000 126.956238
0.000000 2.500000 27.657808
0.250000 2.500000 36.190578
0.500000 2.500000 51.437813
0.750000 2.500000 70.818947
1.000000 2.500000 90.741295
1.250000 2.500000 107.479675
1.500000 2.500000 118.088432
1.750000 2.500000 121.122665
2.000000 2.500000 116.991974
2.250000 2.500000 107.860214
2.500000 2.500000 97.115623
2.750000 2.500000 88.541367
3.000000 2.500000 85.389198
3.250000 2.500000 89.583382
3.500000 2.500000 101.249527
3.750000 2.500000 118.683846
4.000000 2.500000 138.770294
4.250000 2.500000 157.743530
4.500000 2.500000 172.110703
4.750000 2.500000 179.506729
5.000000 2.500000 179.273315
0.000000 2.750000 28.611704
0.250000 2.750000 37.771267
0.500000 2.750000 54.316738
0.750000 2.750000 75.409500
1.000000 2.750000 97.097603
1.250000 2.750000 115.283333
1.500000 2.750000 126.726471
1.750000 2.750000 129.837646
2.000000 2.750000 125.067406
2.250000 2.750000 114.795975
2.500000 2.750000 102.750443
2.750000 2.750000 93.092270
3.000000 2.750000 89.398407
3.250000 2.750000 93.785522
3.500000 2.750000 106.391792
3.750000 2.750000 125.343056
4.000000 2.750000 147.211670
4.250000 2.750000 167.855728
4.500000 2.750000 183.433136
4.750000 2.750000 191.342285
5.000000 2.750000 190.859055
0.000000 3.000000 17.051058
0.250000 3.000000 25.273094
0.500000 3.000000 41.552486
0.750000 3.000000 62.792561
1.000000 3.000000 84.682091
1.250000 3.000000 102.750854
1.500000 3.000000 113.464073
1.750000 3.000000 115.087860
2.000000 3.000000 108.113747
2.250000 3.000000 95.138344
2.500000 3.000000 80.227547
2.750000 3.000000 67.921150
3.000000 3.000000 62.121262
3.250000 3.000000 65.136993
3.500000 3.000000 77.119080
3.750000 3.000000 96.022972
4.000000 3.000000 118.109428
4.250000 3.000000 138.860001
4.500000 3.000000 154.083328
4.750000 3.000000 160.941284
5.000000 3.000000 158.643890
0.000000 3.250000 3.604681
0.250000 3.250000 10.653475
0.500000 3.250000 26.431070
0.750000 3.250000 47.582741
1.000000 3.250000 69.437981
1.250000 3.250000 87.154068
1.500000 3.250000 96.901642
1.750000 3.250000 96.802330
2.000000 3.250000 87.388634
2.250000 3.250000 71.473526
2.500000 3.250000 53.461754
2.750000 3.250000 38.271408
3.000000 3.250000 30.129786
3.250000 3.250000 31.538416
3.500000 3.250000 42.660595
3.750000 3.250000 61.281399
4.000000 3.250000 83.349983
4.250000 3.250000 103.971367
4.500000 3.250000 118.604881
4.750000 3.250000 124.175919
5.000000 3.250000 119.828667
0.000000 3.500000 0.635108
0.250000 3.500000 7.820260
0.500000 3.500000 24.405661
0.750000 3.500000 46.778522
1.000000 3.500000 69.909081
1.250000 3.500000 88.582085
1.500000 3.500000 98.673615
1.750000 3.500000 98.160812
2.000000 3.500000 87.617119
2.250000 3.500000 70.071922
2.500000 3.500000 50.268768
2.750000 3.500000 33.504078
3.000000 3.500000 24.330318
3.250000 3.500000 25.441450
3.500000 3.500000 37.013325
3.750000 3.500000 56.660641
4.000000 3.500000 80.020950
4.250000 3.500000 101.822731
4.500000 3.500000 117.176048
4.750000 3.500000 122.769768
5.000000 3.500000 117.682259
0.000000 3.750000 10.872551
0.250000 3.750000 19.844936
0.500000 3.750000 38.889019
0.750000 3.750000 64.133949
1.000000 3.750000 90.190704
1.250000 3.750000 111.471504
1.500000 3.750000 123.557861
1.750000 3.750000 124.282440
2.000000 3.750000 114.259644
2.250000 3.750000 96.735222
2.500000 3.750000 76.791573
2.750000 3.750000 60.103413
3.000000 3.750000 51.548393
3.250000 3.750000 54.012901
3.500000 3.750000 67.685349
3.750000 3.750000 90.010056
4.000000 3.750000 116.312965
4.250000 3.750000 140.946030
4.500000 3.750000 158.670013
4.750000 3.750000 165.937302
5.000000 3.750000 161.760406
0.000000 4.000000 24.904751
0.250000 4.000000 36.138718
0.500000 4.000000 58.115822
0.750000 4.000000 86.707176
1.000000 4.000000 116.164459
1.250000 4.000000 140.527405
1.500000 4.000000 155.082932
1.750000 4.000000 157.519241
2.000000 4.000000 148.491684
2.250000 4.000000 131.462387
2.500000 4.000000 111.852577
2.750000 4.000000 95.715294
3.000000 4.000000 88.253357
3.250000 4.000000 92.545586
3.500000 4.000000 108.792953
3.750000 4.000000 134.269394
4.000000 4.000000 163.989258
4.250000 4.000000 191.927948
4.500000 4.000000 212.496948
4.750000 4.000000 221.912140
5.000000 4.000000 219.120209
0.000000 4.250000 29.830570
0.250000 4.250000 42.187817
0.500000 4.250000 65.959656
0.750000 4.250000 96.759125
1.000000 4.250000 128.478653
1.250000 4.250000 154.785431
1.500000 4.250000 170.671844
1.750000 4.250000 173.681580
2.000000 4.250000 164.510956
2.250000 4.250000 146.838486
2.500000 4.250000 126.424225
2.750000 4.250000 109.699524
3.000000 4.250000 102.192383
3.250000 4.250000 107.174026
3.500000 4.250000 124.858009
3.750000 4.250000 152.347885
4.000000 4.250000 184.346405
4.250000 4.250000 214.452423
4.500000 4.250000 236.728149
4.750000 4.250000 247.152954
5.000000 4.250000 244.607681
0.000000 4.500000 21.121229
0.250000 4.500000 32.897366
0.500000 4.500000 56.759533
0.750000 4.500000 88.062729
1.000000 4.500000 120.340103
1.250000 4.500000 146.886322
1.500000 4.500000 162.399231
1.750000 4.500000 164.278000
2.000000 4.500000 153.259903
2.250000 4.500000 133.239883
2.500000 4.500000 110.316765
2.750000 4.500000 91.300247
3.000000 4.500000 82.043495
3.250000 4.500000 86.010178
3.500000 4.500000 103.426384
3.750000 4.500000 131.225296
4.000000 4.500000 163.798065
4.250000 4.500000 194.367020
4.500000 4.500000 216.645081
4.750000 4.500000 226.375092
5.000000 4.500000 222.372086
0.000000 4.750000 6.784061
0.250000 4.750000 17.275604
0.500000 4.750000 40.524628
0.750000 4.750000 71.628067
1.000000 4.750000 103.759804
1.250000 4.750000 129.842010
1.500000 4.750000 144.277908
1.750000 4.750000 144.322235
2.000000 4.750000 130.753204
2.250000 4.750000 107.682129
2.500000 4.750000 81.546692
2.750000 4.750000 59.534878
3.000000 4.750000 47.825043
3.250000 4.750000 50.073273
3.500000 4.750000 66.518227
3.750000 4.750000 93.922707
4.000000 4.750000 126.366249
4.250000 4.750000 156.694656
4.500000 4.750000 178.271561
4.750000 4.750000 186.603302
5.000000 4.750000 180.439087
0.000000 5.000000 0.000588
0.250000 5.000000 10.151752
0.500000 5.000000 33.731842
0.750000 5.000000 65.579735
1.000000 5.000000 98.510056
1.250000 5.000000 125.072433
1.500000 5.000000 139.375565
1.750000 5.000000 138.529648
2.000000 5.000000 123.353897
2.250000 5.000000 98.175987
2.500000 5.000000 69.772430
2.750000 5.000000 45.709534
3.000000 5.000000 32.490826
3.250000 5.000000 33.964817
3.500000 5.000000 50.382725
3.750000 5.000000 78.336983
4.000000 5.000000 111.595512
4.250000 5.000000 142.627579
4.500000 5.000000 164.447556
4.750000 5.000000 172.325241
5.000000 5.000000 164.944031
